,0,mean,std,min,max,median,mode,q1,q2,q3
"phi_('Power_node_49', 'Power', 'Power')",53.68724181,53.68724181,0.0,53.68724181,53.68724181,53.68724181,53.68724181,53.68724181,53.68724181,53.68724181
"alpha_('Power_node_50', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_50', 'Power', 'Power')",34.45589509,34.45589509,0.0,34.45589509,34.45589509,34.45589509,34.45589509,34.45589509,34.45589509,34.45589509
"alpha_('Water_node_15', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_15', 'Water', 'Water')",42.651,42.651,0.0,42.651,42.651,42.651,42.651,42.651,42.651,42.651
"alpha_('Water_node_16', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_16', 'Water', 'Water')",55.167,55.167,0.0,55.167,55.167,55.167,55.167,55.167,55.167,55.167
"alpha_('Water_node_17', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_17', 'Water', 'Water')",50.204,50.204,0.0,50.204,50.204,50.204,50.204,50.204,50.204,50.204
"alpha_('Water_node_18', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_18', 'Water', 'Water')",23.187,23.187,0.0,23.187,23.187,23.187,23.187,23.187,23.187,23.187
"alpha_('Water_node_19', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_19', 'Water', 'Water')",72.332,72.332,0.0,72.332,72.332,72.332,72.332,72.332,72.332,72.332
"alpha_('Water_node_20', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_20', 'Water', 'Water')",7.493,7.493,0.0,7.493,7.493,7.493,7.493,7.493,7.493,7.493
"alpha_('Water_node_21', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_21', 'Water', 'Water')",14.845,14.845,0.0,14.845,14.845,14.845,14.845,14.845,14.845,14.845
"alpha_('Water_node_22', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_22', 'Water', 'Water')",42.635,42.635,0.0,42.635,42.635,42.635,42.635,42.635,42.635,42.635
"alpha_('Water_node_23', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_23', 'Water', 'Water')",23.465,23.465,0.0,23.465,23.465,23.465,23.465,23.465,23.465,23.465
"alpha_('Water_node_24', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_24', 'Water', 'Water')",117.59999999999997,117.59999999999997,0.0,117.59999999999997,117.59999999999997,117.59999999999997,117.59999999999997,117.59999999999997,117.59999999999997,117.59999999999997
"alpha_('Water_node_25', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
