,0,mean,std,min,max,median,mode,q1,q2,q3
"phi_('Power_node_33', 'Power', 'Power')",14.00000000009997,14.00000000009997,0.0,14.00000000009997,14.00000000009997,14.00000000009997,14.00000000009997,14.00000000009997,14.00000000009997,14.00000000009997
"alpha_('Power_node_34', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_34', 'Power', 'Power')",9.796453251,9.796453251,0.0,9.796453251,9.796453251,9.796453251,9.796453251,9.796453251,9.796453251,9.796453251
"alpha_('Power_node_35', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_35', 'Power', 'Power')",13.900000000155858,13.900000000155858,0.0,13.900000000155858,13.900000000155858,13.900000000155858,13.900000000155858,13.900000000155858,13.900000000155858,13.900000000155858
"alpha_('Power_node_36', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_36', 'Power', 'Power')",13.44535955,13.44535955,0.0,13.44535955,13.44535955,13.44535955,13.44535955,13.44535955,13.44535955,13.44535955
"alpha_('Power_node_37', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_37', 'Power', 'Power')",13.90000000009999,13.90000000009999,0.0,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999
"alpha_('Power_node_38', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_38', 'Power', 'Power')",12.95349404,12.95349404,0.0,12.95349404,12.95349404,12.95349404,12.95349404,12.95349404,12.95349404,12.95349404
"alpha_('Power_node_39', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_39', 'Power', 'Power')",14.00000000009999,14.00000000009999,0.0,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999
"alpha_('Power_node_40', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_40', 'Power', 'Power')",14.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
"alpha_('Power_node_41', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_41', 'Power', 'Power')",6.208486796,6.208486796,0.0,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796,6.208486796
